Month,Years Since Epoch (t),Max NDVI,Mean NDVI,Min NDVI,Region
01/19,49.039,0.977,0.764,-0.472,d'Andohahela
01/19,49.039,0.999,0.791,-0.869,Midongy Betofaka
01/19,49.039,0.905,0.503,-0.861,Tsimanampetsotsa
01/19,49.039,0.999,0.737,-0.386,d'Ankarafantsika
01/19,49.039,1.0,0.55,-0.998,Masoala
01/19,49.039,0.938,0.577,-0.89,Alan'Ankirisa
02/19,49.124,0.998,0.766,-0.673,d'Andohahela
02/19,49.124,0.997,0.774,-0.614,Midongy Betofaka
02/19,49.124,0.921,0.52,-0.999,Tsimanampetsotsa
02/19,49.124,0.985,0.77,-0.386,d'Ankarafantsika
02/19,49.124,0.977,0.469,-0.995,Masoala
02/19,49.124,0.965,0.638,-0.731,Alan'Ankirisa
03/19,49.2,0.999,0.803,-0.544,d'Andohahela
03/19,49.2,0.995,0.815,-0.996,Midongy Betofaka
03/19,49.2,0.92,0.516,-0.998,Tsimanampetsotsa
03/19,49.2,0.999,0.777,-0.663,d'Ankarafantsika
03/19,49.2,0.999,0.578,-0.994,Masoala
03/19,49.2,0.937,0.661,-0.636,Alan'Ankirisa
04/19,49.285,0.999,0.781,-0.543,d'Andohahela
04/19,49.285,0.996,0.825,-0.705,Midongy Betofaka
04/19,49.285,0.937,0.459,-0.891,Tsimanampetsotsa
04/19,49.285,0.999,0.768,-0.614,d'Ankarafantsika
04/19,49.285,0.999,0.451,-0.997,Masoala
04/19,49.285,0.958,0.582,-0.534,Alan'Ankirisa
05/19,49.367,1.0,0.797,-0.722,d'Andohahela
05/19,49.367,0.999,0.835,-0.98,Midongy Betofaka
05/19,49.367,0.925,0.436,-0.998,Tsimanampetsotsa
05/19,49.367,0.993,0.732,-0.499,d'Ankarafantsika
05/19,49.367,0.999,0.566,-0.994,Masoala
05/19,49.367,0.999,0.493,-0.601,Alan'Ankirisa
06/19,49.452,0.999,0.757,-0.951,d'Andohahela
06/19,49.452,0.999,0.813,-0.976,Midongy Betofaka
06/19,49.452,0.999,0.412,-0.999,Tsimanampetsotsa
06/19,49.452,0.999,0.677,-0.526,d'Ankarafantsika
06/19,49.452,1.0,0.443,-0.997,Masoala
06/19,49.452,0.959,0.477,-0.658,Alan'Ankirisa
07/19,49.534,0.999,0.771,-0.675,d'Andohahela
07/19,49.534,0.999,0.826,-0.99,Midongy Betofaka
07/19,49.534,1.0,0.403,-0.999,Tsimanampetsotsa
07/19,49.534,0.988,0.628,-0.345,d'Ankarafantsika
07/19,49.534,0.999,0.35,-0.996,Masoala
07/19,49.534,0.893,0.421,-0.639,Alan'Ankirisa
08/19,49.619,0.997,0.726,-0.521,d'Andohahela
08/19,49.619,0.962,0.778,-0.632,Midongy Betofaka
08/19,49.619,0.999,0.314,-0.999,Tsimanampetsotsa
08/19,49.619,0.994,0.574,-0.328,d'Ankarafantsika
08/19,49.619,0.973,0.439,-0.995,Masoala
08/19,49.619,0.916,0.376,-0.999,Alan'Ankirisa
09/19,49.704,0.948,0.71,-0.371,d'Andohahela
09/19,49.704,0.911,0.721,-0.648,Midongy Betofaka
09/19,49.704,0.911,0.271,-0.942,Tsimanampetsotsa
09/19,49.704,0.909,0.508,-0.32,d'Ankarafantsika
09/19,49.704,0.999,0.515,-0.997,Masoala
09/19,49.704,0.878,0.327,-0.657,Alan'Ankirisa
10/19,49.786,0.925,0.687,-0.453,d'Andohahela
10/19,49.786,0.919,0.738,-0.87,Midongy Betofaka
10/19,49.786,0.925,0.253,-0.999,Tsimanampetsotsa
10/19,49.786,0.877,0.489,-0.175,d'Ankarafantsika
10/19,49.786,0.999,0.477,-0.997,Masoala
10/19,49.786,0.863,0.257,-0.504,Alan'Ankirisa
11/19,49.871,0.933,0.704,-0.448,d'Andohahela
11/19,49.871,0.944,0.757,-0.974,Midongy Betofaka
11/19,49.871,0.921,0.359,-0.999,Tsimanampetsotsa
11/19,49.871,0.999,0.562,-0.345,d'Ankarafantsika
11/19,49.871,0.984,0.5,-0.998,Masoala
11/19,49.871,0.98,0.317,-0.513,Alan'Ankirisa
12/19,49.953,0.951,0.74,-0.491,d'Andohahela
12/19,49.953,0.999,0.735,-0.768,Midongy Betofaka
12/19,49.953,0.957,0.371,-0.999,Tsimanampetsotsa
12/19,49.953,0.962,0.705,-0.338,d'Ankarafantsika
12/19,49.953,1.0,0.474,-1.0,Masoala
12/19,49.953,0.943,0.506,-0.662,Alan'Ankirisa
01/20,50.038,0.945,0.709,-0.402,d'Andohahela
01/20,50.038,0.998,0.766,-0.56,Midongy Betofaka
01/20,50.038,0.925,0.379,-0.999,Tsimanampetsotsa
01/20,50.038,0.921,0.734,-0.373,d'Ankarafantsika
01/20,50.038,0.992,0.4,-0.997,Masoala
01/20,50.038,0.968,0.671,-0.803,Alan'Ankirisa
02/20,50.123,0.995,0.7,-0.984,d'Andohahela
02/20,50.123,0.972,0.78,-0.979,Midongy Betofaka
02/20,50.123,0.909,0.437,-0.999,Tsimanampetsotsa
02/20,50.123,0.998,0.804,-0.54,d'Ankarafantsika
02/20,50.123,0.999,0.549,-0.998,Masoala
02/20,50.123,0.999,0.698,-0.996,Alan'Ankirisa
03/20,50.202,0.965,0.719,-0.603,d'Andohahela
03/20,50.202,1.0,0.809,-0.996,Midongy Betofaka
03/20,50.202,0.884,0.394,-0.971,Tsimanampetsotsa
03/20,50.202,0.999,0.804,-0.68,d'Ankarafantsika
03/20,50.202,0.999,0.456,-0.998,Masoala
03/20,50.202,0.942,0.658,-0.784,Alan'Ankirisa
04/20,50.287,0.999,0.801,-0.58,d'Andohahela
04/20,50.287,0.999,0.788,-0.992,Midongy Betofaka
04/20,50.287,0.944,0.403,-0.986,Tsimanampetsotsa
04/20,50.287,0.955,0.759,-0.431,d'Ankarafantsika
04/20,50.287,0.998,0.349,-0.998,Masoala
04/20,50.287,0.924,0.599,-0.547,Alan'Ankirisa
05/20,50.369,0.999,0.778,-0.487,d'Andohahela
05/20,50.369,0.999,0.819,-0.866,Midongy Betofaka
05/20,50.369,0.999,0.394,-0.999,Tsimanampetsotsa
05/20,50.369,0.942,0.712,-0.458,d'Ankarafantsika
05/20,50.369,0.999,0.539,-0.997,Masoala
05/20,50.369,0.999,0.555,-0.732,Alan'Ankirisa
06/20,50.454,0.999,0.758,-0.48,d'Andohahela
06/20,50.454,0.999,0.801,-0.606,Midongy Betofaka
06/20,50.454,0.999,0.368,-0.999,Tsimanampetsotsa
06/20,50.454,0.982,0.677,-0.388,d'Ankarafantsika
06/20,50.454,0.998,0.45,-0.974,Masoala
06/20,50.454,0.94,0.502,-0.742,Alan'Ankirisa
07/20,50.536,0.999,0.744,-0.427,d'Andohahela
07/20,50.536,0.999,0.797,-0.92,Midongy Betofaka
07/20,50.536,0.999,0.318,-0.999,Tsimanampetsotsa
07/20,50.536,0.955,0.648,-0.387,d'Ankarafantsika
07/20,50.536,1.0,0.446,-0.992,Masoala
07/20,50.536,0.94,0.424,-0.999,Alan'Ankirisa
08/20,50.621,0.998,0.69,-0.405,d'Andohahela
08/20,50.621,0.999,0.765,-0.993,Midongy Betofaka
08/20,50.621,0.946,0.24,-0.999,Tsimanampetsotsa
08/20,50.621,0.956,0.579,-0.527,d'Ankarafantsika
08/20,50.621,0.999,0.294,-0.998,Masoala
08/20,50.621,0.894,0.358,-0.604,Alan'Ankirisa
09/20,50.706,0.932,0.671,-0.427,d'Andohahela
09/20,50.706,0.905,0.714,-0.855,Midongy Betofaka
09/20,50.706,0.916,0.225,-0.999,Tsimanampetsotsa
09/20,50.706,0.894,0.496,-0.24,d'Ankarafantsika
09/20,50.706,0.999,0.441,-0.998,Masoala
09/20,50.706,0.862,0.305,-0.587,Alan'Ankirisa
10/20,50.788,0.916,0.655,-0.378,d'Andohahela
10/20,50.788,0.915,0.729,-0.64,Midongy Betofaka
10/20,50.788,0.907,0.197,-0.999,Tsimanampetsotsa
10/20,50.788,0.998,0.646,-0.322,d'Ankarafantsika
10/20,50.788,0.996,0.51,-0.997,Masoala
10/20,50.788,0.873,0.306,-0.463,Alan'Ankirisa
11/20,50.873,0.939,0.673,-0.306,d'Andohahela
11/20,50.873,0.92,0.718,-0.979,Midongy Betofaka
11/20,50.873,0.916,0.193,-0.999,Tsimanampetsotsa
11/20,50.873,0.903,0.596,-0.282,d'Ankarafantsika
11/20,50.873,0.997,0.561,-0.998,Masoala
11/20,50.873,0.863,0.297,-0.433,Alan'Ankirisa
12/20,50.955,0.956,0.679,-0.269,d'Andohahela
12/20,50.955,0.929,0.727,-0.605,Midongy Betofaka
12/20,50.955,0.996,0.211,-0.999,Tsimanampetsotsa
12/20,50.955,0.999,0.686,-0.501,d'Ankarafantsika
12/20,50.955,0.996,0.491,-0.998,Masoala
12/20,50.955,0.982,0.425,-0.479,Alan'Ankirisa
01/21,51.04,0.989,0.696,-0.471,d'Andohahela
01/21,51.04,0.96,0.786,-0.65,Midongy Betofaka
01/21,51.04,0.964,0.257,-0.999,Tsimanampetsotsa
01/21,51.04,0.999,0.716,-0.513,d'Ankarafantsika
01/21,51.04,0.999,0.487,-0.996,Masoala
01/21,51.04,0.952,0.635,-0.824,Alan'Ankirisa
02/21,51.125,0.975,0.714,-0.435,d'Andohahela
02/21,51.125,0.999,0.782,-0.646,Midongy Betofaka
02/21,51.125,0.93,0.304,-0.999,Tsimanampetsotsa
02/21,51.125,0.999,0.707,-0.42,d'Ankarafantsika
02/21,51.125,0.999,0.422,-0.998,Masoala
02/21,51.125,0.931,0.711,-0.554,Alan'Ankirisa
03/21,51.202,0.999,0.762,-0.491,d'Andohahela
03/21,51.202,0.999,0.792,-0.995,Midongy Betofaka
03/21,51.202,0.901,0.425,-0.947,Tsimanampetsotsa
03/21,51.202,0.998,0.771,-0.511,d'Ankarafantsika
03/21,51.202,1.0,0.523,-0.997,Masoala
03/21,51.202,0.984,0.702,-0.768,Alan'Ankirisa
04/21,51.286,0.999,0.773,-0.507,d'Andohahela
04/21,51.286,0.998,0.815,-0.754,Midongy Betofaka
04/21,51.286,1.0,0.41,-0.999,Tsimanampetsotsa
04/21,51.286,0.962,0.749,-0.459,d'Ankarafantsika
04/21,51.286,0.999,0.531,-0.997,Masoala
04/21,51.286,0.927,0.62,-0.68,Alan'Ankirisa
05/21,51.369,0.999,0.751,-0.459,d'Andohahela
05/21,51.369,0.999,0.806,-0.991,Midongy Betofaka
05/21,51.369,1.0,0.405,-0.999,Tsimanampetsotsa
05/21,51.369,0.924,0.689,-0.501,d'Ankarafantsika
05/21,51.369,0.999,0.549,-0.997,Masoala
05/21,51.369,0.931,0.54,-0.614,Alan'Ankirisa
06/21,51.453,1.0,0.768,-0.958,d'Andohahela
06/21,51.453,1.0,0.815,-0.992,Midongy Betofaka
06/21,51.453,1.0,0.373,-0.999,Tsimanampetsotsa
06/21,51.453,0.949,0.664,-0.449,d'Ankarafantsika
06/21,51.453,1.0,0.368,-0.997,Masoala
06/21,51.453,0.931,0.489,-0.657,Alan'Ankirisa
07/21,51.536,1.0,0.758,-0.99,d'Andohahela
07/21,51.536,0.999,0.787,-0.98,Midongy Betofaka
07/21,51.536,1.0,0.321,-0.999,Tsimanampetsotsa
07/21,51.536,0.993,0.616,-0.311,d'Ankarafantsika
07/21,51.536,1.0,0.477,-0.998,Masoala
07/21,51.536,0.938,0.439,-0.998,Alan'Ankirisa
08/21,51.62,0.962,0.7,-0.4,d'Andohahela
08/21,51.62,0.99,0.752,-0.864,Midongy Betofaka
08/21,51.62,0.999,0.244,-0.999,Tsimanampetsotsa
08/21,51.62,0.946,0.54,-0.336,d'Ankarafantsika
08/21,51.62,0.999,0.481,-0.997,Masoala
08/21,51.62,0.884,0.343,-0.648,Alan'Ankirisa
09/21,51.705,0.938,0.68,-0.396,d'Andohahela
09/21,51.705,0.922,0.724,-0.924,Midongy Betofaka
09/21,51.705,0.926,0.209,-0.968,Tsimanampetsotsa
09/21,51.705,0.954,0.473,-0.357,d'Ankarafantsika
09/21,51.705,0.999,0.454,-0.997,Masoala
09/21,51.705,0.901,0.312,-0.734,Alan'Ankirisa
10/21,51.788,0.934,0.632,-0.252,d'Andohahela
10/21,51.788,0.914,0.701,-0.984,Midongy Betofaka
10/21,51.788,0.934,0.196,-0.999,Tsimanampetsotsa
10/21,51.788,0.954,0.448,-0.248,d'Ankarafantsika
10/21,51.788,0.995,0.587,-0.995,Masoala
10/21,51.788,0.869,0.283,-0.7,Alan'Ankirisa
